City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port-Cartier,CA,2022-01-19 00:14:06,50.0334,-66.8654,10.74,73,100,19.8
68,Hede,CN,2022-01-19 00:14:06,33.7681,120.2517,38.16,79,40,1.57
69,Puerto Ayora,EC,2022-01-19 00:14:07,-0.7393,-90.3518,74.62,79,94,7.25
70,Ouesso,CG,2022-01-19 00:14:07,1.6136,16.0517,70.56,80,59,1.1
71,Eenhana,NA,2022-01-19 00:14:08,-17.4667,16.3333,66.06,90,100,0.92
72,Dhidhdhoo,MV,2022-01-19 00:14:08,6.8833,73.1,80.82,69,94,4.03
73,Pevek,RU,2022-01-19 00:12:16,69.7008,170.3133,-33.79,96,79,3.67
74,Ossora,RU,2022-01-19 00:14:09,59.2353,163.0719,-4.58,74,11,7.96
75,Kinkala,CG,2022-01-19 00:14:09,-4.3614,14.7644,69.93,93,100,2.44
76,Sakakah,SA,2022-01-19 00:14:10,29.9697,40.2064,40.93,36,9,5.84
77,Port Augusta,AU,2022-01-19 00:14:10,-32.5,137.7667,77.7,30,22,11.54
78,Kaitangata,NZ,2022-01-19 00:14:10,-46.2817,169.8464,54.25,96,99,11.45
79,Padang,ID,2022-01-19 00:14:11,-0.9492,100.3543,75.25,88,100,4.79
80,Oksfjord,NO,2022-01-19 00:14:11,70.2396,22.3479,36.52,99,100,13.22
81,Svetlyy,RU,2022-01-19 00:14:12,54.675,20.1347,35.65,89,80,16.11
82,Iskateley,RU,2022-01-19 00:14:12,67.6803,53.1512,-7.94,100,98,1.39
83,Olafsvik,IS,2022-01-19 00:14:12,64.8945,-23.7142,28.24,66,65,20.83
84,Faanui,PF,2022-01-19 00:14:13,-16.4833,-151.75,75.2,82,100,21.27
85,Tungawan,PH,2022-01-19 00:14:13,7.5081,122.3711,79.18,81,96,4.63
86,San Policarpo,PH,2022-01-19 00:14:14,12.1791,125.5072,78.64,85,100,15.08
87,Dwarka,IN,2022-01-19 00:14:14,22.2394,68.9678,69.87,48,3,3.29
88,Orebro,SE,2022-01-19 00:14:15,59.2741,15.2066,41.18,54,75,14.97
89,Okhotsk,RU,2022-01-19 00:14:15,59.3833,143.3,-5.44,73,1,9.66
90,East London,ZA,2022-01-19 00:14:15,-33.0153,27.9116,71.78,84,69,16.06
91,Vagamo,NO,2022-01-19 00:14:16,61.8751,9.0967,21.78,96,100,2.84
92,Los Llanos De Aridane,ES,2022-01-19 00:14:17,28.6585,-17.9182,60.55,76,0,5.99
93,Hovd,MN,2022-01-19 00:14:17,48.0056,91.6419,5.76,85,100,2.62
94,Praia Da Vitoria,PT,2022-01-19 00:15:17,38.7333,-27.0667,58.75,100,75,16.71
95,Jumla,NP,2022-01-19 00:15:18,29.2747,82.1838,33.04,66,7,3.56
96,Zhigansk,RU,2022-01-19 00:15:18,66.7697,123.3711,-28.34,96,60,14.83
97,Victoria,HK,2022-01-19 00:15:05,22.2855,114.1577,60.33,80,34,4.0
98,Vanimo,PG,2022-01-19 00:15:19,-2.6741,141.3028,75.42,92,100,5.61
99,Pasni,PK,2022-01-19 00:15:19,25.2631,63.471,69.69,65,1,6.17
100,Vardo,NO,2022-01-19 00:15:20,70.3705,31.1107,32.34,88,100,32.88
101,Tambura,SS,2022-01-19 00:15:20,5.6,27.4667,71.06,66,99,3.27
102,Loiza,PR,2022-01-19 00:15:21,18.4313,-65.8802,78.06,83,20,8.05
103,Port Alfred,ZA,2022-01-19 00:15:21,-33.5906,26.891,69.13,83,46,21.94
104,Namatanai,PG,2022-01-19 00:15:21,-3.6667,152.4333,84.58,71,91,13.33
105,Yulara,AU,2022-01-19 00:15:22,-25.2406,130.9889,69.64,83,100,12.66
106,Bathsheba,BB,2022-01-19 00:15:22,13.2167,-59.5167,77.61,78,40,16.11
107,Alofi,NU,2022-01-19 00:15:23,-19.0595,-169.9187,85.89,74,75,17.27
108,Nokia,FI,2022-01-19 00:15:23,61.4667,23.5,30.18,89,0,3.0
109,Yar-Sale,RU,2022-01-19 00:15:23,66.8333,70.8333,-10.21,99,99,4.32
110,Simao,CN,2022-01-19 00:15:24,22.7886,100.9748,46.87,98,50,2.24
111,Krasnoselkup,RU,2022-01-19 00:15:24,65.7,82.4667,3.79,96,98,10.56
112,Tasiilaq,GL,2022-01-19 00:15:25,65.6145,-37.6368,15.96,53,78,6.51
113,Chapais,CA,2022-01-19 00:15:25,49.7834,-74.8492,-18.62,100,100,2.77
114,Gizo,SB,2022-01-19 00:15:25,-8.103,156.8419,84.42,72,100,7.58
115,Vityazevo,RU,2022-01-19 00:15:26,44.9931,37.2719,28.81,80,75,11.18
116,Kieta,PG,2022-01-19 00:15:26,-6.2167,155.6333,85.71,70,100,2.57
117,Jilib,SO,2022-01-19 00:15:27,0.4883,42.7854,74.41,89,95,6.02
118,Peniche,PT,2022-01-19 00:15:17,39.3558,-9.3811,52.45,77,1,6.6
119,Clyde River,CA,2022-01-19 00:15:28,70.4692,-68.5914,-5.57,77,100,29.93
120,Wau,SS,2022-01-19 00:15:28,7.7029,27.9953,71.44,34,12,3.69
121,Leningradskiy,RU,2022-01-19 00:15:28,69.3833,178.4167,-27.67,93,41,7.27
122,Prince Rupert,CA,2022-01-19 00:14:56,54.3161,-130.3201,42.49,86,75,4.61
123,Bakchar,RU,2022-01-19 00:15:29,57.0186,82.0711,7.68,94,94,8.23
124,Mehamn,NO,2022-01-19 00:15:30,71.0357,27.8492,37.38,90,100,28.32
125,Shache,CN,2022-01-19 00:15:30,38.4167,77.2406,27.72,39,13,5.35
126,Bisho,ZA,2022-01-19 00:15:30,-32.8472,27.4422,64.02,92,66,7.72
127,Santa Rosa,PH,2022-01-19 00:15:07,14.3122,121.1114,77.09,67,96,7.09
128,Katangli,RU,2022-01-19 00:15:31,51.7102,143.2326,4.6,94,100,11.92
129,Smithers,CA,2022-01-19 00:12:25,54.7804,-127.1743,25.75,95,100,3.44
130,Atambua,ID,2022-01-19 00:15:32,-9.1061,124.8925,73.74,88,100,1.41
